Date,DX-Y.NYB,EURJPY=X,GC=F,HG=F,NG=F,SI=F,USDJPY=X,ZW=F
2017-03-27,99.16999816894531,119.91500091552734,1255.4000244140625,2.625,3.052000045776367,18.079999923706055,110.552001953125,420.75
2017-03-28,99.70999908447266,120.3030014038086,1255.300048828125,2.6689999103546143,3.0959999561309814,18.225000381469727,110.77100372314453,424.5
2017-03-29,100.0,120.30000305175781,1253.4000244140625,2.6700000762939453,3.174999952316284,18.22800064086914,111.22599792480469,425.5
2017-03-30,100.41000366210938,119.56999969482422,1245.0,2.6649999618530273,3.190999984741211,18.184999465942383,111.15399932861328,421.0
2017-03-31,100.3499984741211,119.44000244140625,1247.300048828125,2.6465001106262207,3.190000057220459,18.235000610351562,111.7760009765625,426.5
2017-04-03,100.54000091552734,118.70700073242188,1250.800048828125,2.5975000858306885,3.128000020980835,18.19099998474121,111.26499938964844,427.75
2017-04-04,100.54000091552734,118.11900329589844,1255.0,2.6059999465942383,3.2929999828338623,18.302000045776367,110.70899963378906,427.0
2017-04-05,100.55999755859375,118.38999938964844,1245.4000244140625,2.67549991607666,3.2660000324249268,18.166000366210938,110.85399627685547,429.75
2017-04-06,100.66999816894531,117.79199981689453,1250.300048828125,2.6554999351501465,3.3310000896453857,18.225000381469727,110.38099670410156,423.25
2017-04-07,101.18000030517578,118.03399658203125,1254.300048828125,2.6449999809265137,3.260999917984009,18.1299991607666,110.89700317382812,424.0
2017-04-10,101.0199966430664,117.69200134277344,1251.0999755859375,2.6019999980926514,3.23799991607666,17.893999099731445,111.2249984741211,428.75
2017-04-11,100.70999908447266,117.322998046875,1271.199951171875,2.6059999465942383,3.1500000953674316,18.232999801635742,110.71700286865234,433.25
2017-04-12,100.77999877929688,116.25,1275.300048828125,2.5439999103546143,3.187000036239624,18.27899932861328,109.58699798583984,433.25
2017-04-13,100.55999755859375,116.197998046875,1285.9000244140625,2.569499969482422,3.2269999980926514,18.48900032043457,108.9020004272461,429.75
2017-04-14,,115.8759994506836,,,,,109.10099792480469,
2017-04-17,100.30000305175781,114.93199920654297,1289.4000244140625,2.5950000286102295,3.1630001068115234,18.493000030517578,108.322998046875,421.0
2017-04-18,99.5,116.15499877929688,1291.699951171875,2.5290000438690186,3.1449999809265137,18.250999450683594,109.11199951171875,422.5
2017-04-19,99.73999786376953,116.43299865722656,1281.4000244140625,2.5334999561309814,3.184999942779541,18.13599967956543,108.53500366210938,419.0
